,Ciudad,Dueño,Nivel,Alianza,Isla,xCoord,yCoord
79,pein,-LIDER-,14,xVx,Browios,51,49
80,Mayweather,Max,16,V-K,Browios,51,49
81,Droper V,Droper,9,CVK,Browios,51,49
82,ViñedoEducado,noobmaldito,8,CVK,Browios,51,49
83,Polis,Panfila,1,None,Browios,51,49
85,pIEDRAS,Osiris,2,None,Awios,50,48
86,CIUDAD KAMIKAZE,-LIDER-,10,xVx,Awios,50,48
87,City-M,N3tp,12,V-K,Awios,50,48
88,Northumbria,Ragnark,13,V-K,Awios,50,48
89,Sybaris,SI3RR4,10,T-I,Awios,50,48
90,Gusanitos City,Nyandari,11,T-I,Awios,50,48
91,Marmol,Solitario,12,xVx,Awios,50,48
92,Chipre,Jawi95,14,V-K,Awios,50,48
93,Kategat,Jawi95,15,V-K,Awios,50,48
94,Polis,Hydro,13,None,Awios,50,48
95,Golovkin,Max,16,V-K,Awios,50,48
96,Lidias,Jawi95,12,V-K,Awios,50,48
97,Beta,El Psy Congroo,13,LhO,Awios,50,48
98,Planta 1,Darktidus,14,V-K,Awios,50,48
99,UnkariamMarmol,NewNoob22,10,None,Awios,50,48
100,Anikilator,Suliman,14,V-K,Awios,50,48
102,Galerna,El malo,10,V-K,Vievios,49,48
103,Antigua,ElRojo,13,V-K,Vievios,49,48
104,Insieme a te,GiovanniPaolo,10,LhO,Vievios,49,48
105,Polis,Eloy,9,L-C,Vievios,49,48
106,UnkariamCristal,NewNoob22,4,None,Vievios,49,48
107,Qiriath,Dark_Lorentz,10,V-K,Vievios,49,48
108,Solarsteinn,Ragnark,13,V-K,Vievios,49,48
109,Opis,Jawi95,13,V-K,Vievios,49,48
110,Polis,ARMAGEDON,1,None,Vievios,49,48
111,Cocaina,Suliman,8,V-K,Vievios,49,48
112,Lima-LhO,-LuckY-,14,LhO,Vievios,49,48
113,Poronga,mailo j,4,None,Vievios,49,48
114,Delta,El Psy Congroo,11,LhO,Vievios,49,48
115,C Barcenova-LhO,Desiree,11,LhO,Vievios,49,48
116,-Cristal-,-Drake-,13,LhO,Vievios,49,48
117,Fjädrundaland,Dictador,11,V-K,Vievios,49,48
119,Polis,player 5,1,None,Zuneos,50,51
120,UNO ap1,Dora la explora,8,None,Zuneos,50,51
121,Azufre,Nido de Aguilas,10,V-K,Zuneos,50,51
122,Canena,lorenzojd,9,-RR-,Zuneos,50,51
123,Polis,SolomilloKane,9,LhO,Zuneos,50,51
124,Polis,Rugger,4,None,Zuneos,50,51
125,Polis,sebin,1,None,Zuneos,50,51
126,Polis,Halej,4,None,Zuneos,50,51
127,rojo x rojo,serpiente,9,xVx,Zuneos,50,51
128,Venus,sat1,8,xVx,Zuneos,50,51
129,Azufre,Solitario,10,xVx,Zuneos,50,51
130,Poseidon,Natural_Mc,1,xVx,Zuneos,50,51
131,Code Geass,dotb,12,-CB-,Zuneos,50,51
132,poop-land,CAZADOR,21,HDP,Zuneos,50,51
133,destruazu,destructorr,9,xVx,Zuneos,50,51
134,1Azufre,Terim,5,xVx,Zuneos,50,51
136,CopaVino,Spliter,4,None,Llerios,49,51
137,Polis,Nevier,4,None,Llerios,49,51
138,Polis,KIKO,1,None,Llerios,49,51
139,Troya,rodkira,9,300,Llerios,49,51
140,Polis,MEMOCRAKING,1,None,Llerios,49,51
141,Vinillo,El Paladin,7,LhO,Llerios,49,51
142,PaVía d BaCaLaO,MaNuKSs,10,T-I,Llerios,49,51
143,Tejitas City,Nyandari,10,T-I,Llerios,49,51
144,Rngel-Vino,Rngel,11,xVx,Llerios,49,51
145,TuNoBailaDmbw,Cnmigotunopuede,10,T-I,Llerios,49,51
146,Pedo-land,CAZADOR,21,HDP,Llerios,49,51
147,Polis,T3RMINATOR,1,T-I,Llerios,49,51
148,El chaparral,NaNocK91,13,T-I,Llerios,49,51
149,STAR WARS,Luke,4,None,Llerios,49,51
150,Polis,Ferlo,4,None,Llerios,49,51
151,The Tavern,Christmaster,12,300,Llerios,49,51
152,Vomit-land,CAZADOR,22,HDP,Llerios,49,51
153,Polis,Adonis-2839,1,None,Riloos,49,52
154,BOB,Bobi,4,None,Riloos,49,52
155,An cá tu madre,NaNocK91,12,T-I,Riloos,49,52
156,Polis,zarpa,7,xVx,Riloos,49,52
157,Anubis,Velkazahmar,4,None,Riloos,49,52
158,LimonCity,LimonRLZ,12,None,Riloos,49,52
159,RollingStone,Christmaster,13,300,Riloos,49,52
160,DESTRUCTOR,Destructor,4,None,Riloos,49,52
161,Seth,Velkazahmar,10,None,Riloos,49,52
162,Amón,Velkazahmar,11,None,Riloos,49,52
163,Osiris,Velkazahmar,11,None,Riloos,49,52
164,Polis,SergioHZ,2,None,Riloos,49,52
165,marmota,alsinaa,10,-NP-,Riloos,49,52
166,Celestial,Sa89,8,None,Riloos,49,52
167,La Capital,LeXTeR,4,None,Riloos,49,52
168,Marmolillo,SolomilloKane,11,LhO,Riloos,49,52
169,diarrea-land,CAZADOR,21,HDP,Riloos,49,52
170,A pantherina,Alejandra,11,xVx,Kalaos,50,52
171,Polis,Ven56,4,None,Kalaos,50,52
172,Polis,Master,4,None,Kalaos,50,52
173,Polis,NICK,4,None,Kalaos,50,52
174,Polis,picante,1,-IL-,Kalaos,50,52
175,Polis,Tidus,4,None,Kalaos,50,52
176,Tizona,Soy Leyenda,10,None,Kalaos,50,52
177,Polis,Mark,4,None,Kalaos,50,52
178,T3RMINATOR,T3RMINATOR,7,T-I,Kalaos,50,52
179,Arilopolis,TENA,3,None,Kalaos,50,52
180,Polis,El holandes,4,None,Kalaos,50,52
181,Eterno Verano,Calypso,7,None,Kalaos,50,52
182,Region Gronf,LimonRLZ,11,None,Kalaos,50,52
183,Polis,Faluy,4,None,Kalaos,50,52
184,Polis,MONSTER,4,None,Kalaos,50,52
185,Polis,Pikachu,4,None,Kalaos,50,52
187,Jerusalén,Luxferre,11,-NP-,Mosoos,49,49
188,Categhart,Ragnark,13,V-K,Mosoos,49,49
189,Polis,Deos_Vaghetto,1,None,Mosoos,49,49
190,Rurōuni Kenshin,Battōsai,9,LhO,Mosoos,49,49
191,CasTerly RocK,KoRny The KinG,8,None,Mosoos,49,49
192,V Merida-LhO,Desiree,10,LhO,Mosoos,49,49
193,Polis,ChuskyXGA,1,None,Mosoos,49,49
194,Gamma,El Psy Congroo,12,LhO,Mosoos,49,49
195,Capitanía,Dictador,12,V-K,Mosoos,49,49
196,Vinomillo,SolomilloKane,10,LhO,Mosoos,49,49
197,Hebrón,Luxferre,10,-NP-,Mosoos,49,49
198,fercho14,Fercho14,10,-IL-,Mosoos,49,49
199,Lobo Alpha,Gimli,12,None,Mosoos,49,49
200,Polis,uruguay,1,None,Mosoos,49,49
201,Cyrene,SI3RR4,10,T-I,Mosoos,49,49
202,Polis,Escudero3,8,None,Mosoos,49,49
204,Keylogger,Mr Robot,9,-IL-,Unteyos,47,50
205,Polis,Mercader,7,CVK,Unteyos,47,50
206,RORAIMA,Ottomano,11,-IL-,Unteyos,47,50
207,Anonimus,Orlando,12,None,Unteyos,47,50
208,Camelot,rodkira,11,300,Unteyos,47,50
209,Polis,Izaro,3,None,Unteyos,47,50
210,PieDraTOR,T3RMINATOR,5,T-I,Unteyos,47,50
211,Demacia,Vantiax,10,CVK,Unteyos,47,50
212,Tel Aviv,Luxferre,10,-NP-,Unteyos,47,50
213,Marmol,Nido de Aguilas,13,V-K,Unteyos,47,50
214,Marmopolis,Cain,11,None,Unteyos,47,50
215,Settlers Losers,MasterLoser,13,-HK-,Unteyos,47,50
216,Grecopolis,Swone,11,-REV-,Unteyos,47,50
217,PalmerMarmol,Palmer,10,None,Unteyos,47,50
218,Polis,Deos_Vaghetto,1,None,Unteyos,47,50
219,Nilo,Horus,9,-IL-,Unteyos,47,50
221,Deos_One,Deos_Vaghetto,9,None,Tissoios,47,49
222,CROMO,Cain,10,None,Tissoios,47,49
223,Polis,Christmaster,1,300,Tissoios,47,49
224,Alduin,Delfador,11,V-K,Tissoios,47,49
226,Polis,Nyandari,4,T-I,Tissoios,47,49
227,Polis,Lauti,2,None,Tissoios,47,49
228,Crystal Meth,John Cena,9,V-K,Tissoios,47,49
229,Polis,Sonao,3,CVK,Tissoios,47,49
230,HetsKrystaL,HetsJr,9,-HK-,Tissoios,47,49
231,Grecia,Leonidas,4,None,Tissoios,47,49
232,Revientoto,El paps,11,-IL-,Tissoios,47,49
233,diamante negro,kalipso,8,None,Tissoios,47,49
234,Kiticristi,Achoparla,7,MTS,Tissoios,47,49
235,Pinturicchio,Chivo piocha,7,-IL-,Tissoios,47,49
236,Scorpio,Orlando,7,None,Tissoios,47,49
238,PalmerAzufre,Palmer,10,None,Doilios,46,49
239,Argentavis,Polx,7,CVK,Doilios,46,49
240,Pazufre,themym,9,V-K,Doilios,46,49
241,Black Castle,KoRny The KinG,12,None,Doilios,46,49
242,Imperio Z,Cain,10,None,Doilios,46,49
243,malaka,Palamedes-6877,5,None,Doilios,46,49
244,Polis,Fabricio,5,-EE-,Doilios,46,49
245,Polis,Menelaus-9892,10,None,Doilios,46,49
246,Polis,Fercho14,6,-IL-,Doilios,46,49
247,Carrera Blanca,Aitzol,10,V-K,Doilios,46,49
248,AzufreSport,SolerSport,8,None,Doilios,46,49
249,Los Hornos,POLLY,4,None,Doilios,46,49
250,Esparta,Sonao,9,CVK,Doilios,46,49
251,azuprolis,Willyy,11,LVT,Doilios,46,49
252,Zaun,Vantiax,7,CVK,Doilios,46,49
253,Azufre,ASIER,10,V-K,Doilios,46,49
255,Fobos,Soy Leyenda,8,None,Alduos,46,50
256,Testo,wowpato,9,-LR-,Alduos,46,50
257,Campioni,BERNAL,8,L G B,Alduos,46,50
258,VINO LOCO,PERRO LOCO,2,None,Alduos,46,50
259,Polis,Fabricio,7,-EE-,Alduos,46,50
260,vino,cubelo,10,xVx,Alduos,46,50
261,Kitivino,Achoparla,7,MTS,Alduos,46,50
262,Atenas,Hercules,4,None,Alduos,46,50
263,Polis,Africa,3,None,Alduos,46,50
264,Brou Jo Som,Dersas,10,L G B,Alduos,46,50
265,Ionia,Vantiax,7,CVK,Alduos,46,50
266,Vintas,Virens,9,L G B,Alduos,46,50
267,TOTAL WAR,Ottomano,6,-IL-,Alduos,46,50
268,DiosDeGuerra,M4CP4T0,11,L G B,Alduos,46,50
269,La Garnafia,Daedalus-1927,9,None,Alduos,46,50
270,Mano negra,Orlando,11,None,Alduos,46,50
272,Lomachenko,Max,16,V-K,Ponyos,47,48
273,Planta 3,Darktidus,14,V-K,Ponyos,47,48
274,Elisa,elisa1,5,None,Ponyos,47,48
275,MarmolSport,SolerSport,2,None,Ponyos,47,48
276,-P-,keraban,10,-IL-,Ponyos,47,48
277,tristan suarez,sinbirome,11,VKO,Ponyos,47,48
278,HetsKolon,HetsJr,12,-HK-,Ponyos,47,48
279,Esparta,Leonidas,10,None,Ponyos,47,48
280,Thrace,Gladiator,12,None,Ponyos,47,48
281,Polis,Fercho14,8,-IL-,Ponyos,47,48
282,Polis,El Ultimo,1,None,Ponyos,47,48
283,MACIZO,novas_7,9,None,Ponyos,47,48
284,Polis,Hydro,12,None,Ponyos,47,48
285,Nehmeox,Dark_Lorentz,14,V-K,Ponyos,47,48
286,Marmol,jang,10,None,Ponyos,47,48
287,M Tarraco-LhO,Desiree,12,LhO,Ponyos,47,48
289,destruvino,destructorr,11,xVx,Phiaxios,46,48
290,Polis,Menelaus-9892,10,None,Phiaxios,46,48
291,Tierra Santa,Sir Marcus,8,None,Phiaxios,46,48
293,Polis,M4CP4T0,1,L G B,Phiaxios,46,48
294,Polis,uruguay,1,None,Phiaxios,46,48
295,Polis,gone,3,None,Phiaxios,46,48
296,Roma,Leonidas,10,None,Phiaxios,46,48
297,Sona,Relámpago,9,None,Phiaxios,46,48
298,Itza,ParisII,5,None,Phiaxios,46,48
299,Vino1,ASIER,12,V-K,Phiaxios,46,48
301,colon,gitano,8,LhO,Phiaxios,46,48
302,Chichen,KUKULCÁN,11,-IL-,Phiaxios,46,48
303,Bone,BTNH13T,12,-IL-,Phiaxios,46,48
304,Bogotá,sanin,10,-IL-,Phiaxios,46,48
306,Azufrolis,Épico,7,None,Veseaos,45,50
307,Vega,Apocalipsis188,2,None,Veseaos,45,50
308,Polis,Maddigajate,4,None,Veseaos,45,50
309,Sutondo,Izaro,2,None,Veseaos,45,50
310,Auriga,Masterwolf7,7,CVK,Veseaos,45,50
311,Notaez,David95,7,FLOR,Veseaos,45,50
312,Tarragona,Suabsy,1,-HK-,Veseaos,45,50
313,AGROMUND,Bohemio,4,None,Veseaos,45,50
314,Polis,virus s,10,xVx,Veseaos,45,50
316,Barcelona,AlbertoSaiz95,7,None,Veseaos,45,50
317,Polis,FITUS,10,MTS,Veseaos,45,50
318,persia,rodkira,7,300,Veseaos,45,50
319,Losers Guard,MasterLoser,13,-HK-,Veseaos,45,50
320,Tatooine,Palas_01,7,MTS,Veseaos,45,50
321,Templario,Orlando,12,None,Veseaos,45,50
323,camArillo,camagroc,11,-HK-,Peelios,44,50
324,Barcelona,Suabsy,10,-HK-,Peelios,44,50
325,Akragas,Ikarus,8,-HK-,Peelios,44,50
326,chuTHOR,xtorchu,11,-HK-,Peelios,44,50
327,Galaxy Note 1,Goshako,11,-HK-,Peelios,44,50
328,Pvino,themym,10,V-K,Peelios,44,50
329,Dani OP,Halero7,13,V-K,Peelios,44,50
330,Aguas Profundas,Borya014,1,MTS,Peelios,44,50
331,Polis,colonia,1,None,Peelios,44,50
332,Riften,Aitzol,13,V-K,Peelios,44,50
333,HetsKapit,HetsJr,12,-HK-,Peelios,44,50
334,Chuty,Belialsus,12,V-K,Peelios,44,50
335,Polis,loboferran,10,-HK-,Peelios,44,50
336,Gragas,Basik,13,-HK-,Peelios,44,50
337,Rine,Naap,13,V-K,Peelios,44,50
338,Zoncolan,Torn,11,-HK-,Peelios,44,50
340,Ventalia,Aitzol,15,V-K,Kiyaios,45,49
341,Amerika,Fabricio,9,-EE-,Kiyaios,45,49
342,Ana OP,Halero7,14,V-K,Kiyaios,45,49
343,viva mexico,themym,12,V-K,Kiyaios,45,49
344,Quetzalcoaltus,Polx,9,CVK,Kiyaios,45,49
345,ACZINO,Belialsus,15,V-K,Kiyaios,45,49
346,Marmol,Hidroponico,14,V-K,Kiyaios,45,49
347,CasaPueblo,NekoSensei,8,None,Kiyaios,45,49
348,mexico,themym,11,V-K,Kiyaios,45,49
349,willylandia,Willyy,12,LVT,Kiyaios,45,49
350,Masterwolf7,Masterwolf7,9,CVK,Kiyaios,45,49
351,Marmol Atenea,Speedelman,8,None,Kiyaios,45,49
352,Xabi OP,Halero7,14,V-K,Kiyaios,45,49
353,Lucero del alba,Aitzol,14,V-K,Kiyaios,45,49
354,Mortirolo,Torn,12,-HK-,Kiyaios,45,49
355,Ignacio OP,Halero7,14,V-K,Kiyaios,45,49
358,Polis,Jj1313,2,None,Ireaos,44,49
359,Polis,Icarus-0781,1,None,Ireaos,44,49
361,Loup,YucasXtiz,7,-IL-,Ireaos,44,49
362,Aurora,Izaro,8,None,Ireaos,44,49
363,Tiburon,Orochi,10,-IL-,Ireaos,44,49
364,Towercilla,Birdez,6,None,Ireaos,44,49
367,Polis,Xavani,3,None,Ireaos,44,49
368,Poli A,Beastmode,6,None,Ireaos,44,49
369,Polis,FITUS,1,MTS,Ireaos,44,49
371,Polis,tobbu,1,None,Ireaos,44,49
372,Polis,Ivancheto,2,None,Ireaos,44,49
374,Minas Tirith,DaFNe,12,CVK,Rynetia,46,52
375,Welthauptstadt,Lehendakaiser,9,MTS,Rynetia,46,52
376,Polis,Parzival_,5,None,Rynetia,46,52
377,Ethery,vic the killer,5,None,Rynetia,46,52
378,City of Losers,MasterLoser,13,-HK-,Rynetia,46,52
379,Valencia,Diego,14,V-K,Rynetia,46,52
380,Polis,themym,1,V-K,Rynetia,46,52
381,Casanax,pequeño pony,9,MTS,Rynetia,46,52
382,Veintisiete,Widomaniac,12,MTS,Rynetia,46,52
383,CRISTAL,FITUS,10,MTS,Rynetia,46,52
384,Polis,centaur,1,None,Rynetia,46,52
385,Toxopolis,nax94,12,MTS,Rynetia,46,52
386,Naboo,Palas_01,11,MTS,Rynetia,46,52
387,Niflheim,Edgorn,7,V-K,Rynetia,46,52
388,Ventalia,Saidai,7,CVK,Rynetia,46,52
389,Figuelandia,Mari Carmen,12,MTS,Rynetia,46,52
391,Utopía,vicrogo,8,T-I,Koedaos,47,52
392,Slateport city,Jordandaichi,5,None,Koedaos,47,52
393,Polis,Adonis-2839,1,None,Koedaos,47,52
394,Nax city,nax94,12,MTS,Koedaos,47,52
395,Polis,Cain,10,None,Koedaos,47,52
396,Ransomware,Mr Robot,10,-IL-,Koedaos,47,52
397,Marepolis,Mari Carmen,11,MTS,Koedaos,47,52
398,Sauvage,Widomaniac,12,MTS,Koedaos,47,52
399,PoSEidOn I,sssss,4,xVx,Koedaos,47,52
400,El diecinueve,Mari Carmen,9,MTS,Koedaos,47,52
401,Aljaraque,Diego,15,V-K,Koedaos,47,52
402,Provocator,Gladiator,11,None,Koedaos,47,52
403,La Granja,Rob3rto,9,-MaF-,Koedaos,47,52
404,ComarcaLendos,LimonRLZ,9,None,Koedaos,47,52
405,City,jamthebest,9,-MaF-,Koedaos,47,52
406,Abismo de helm,StOn3,11,-CB-,Koedaos,47,52
408,Lilibeo,Enel3030,1,-RR-,Joukios,47,53
409,Baskonia,Gimli,11,None,Joukios,47,53
410,La vieja sirena,Mari Carmen,11,MTS,Joukios,47,53
411,Sige intentando,Saidai,9,CVK,Joukios,47,53
412,Polis,Thormer790,6,UNS,Joukios,47,53
413,Limao,nax94,12,MTS,Joukios,47,53
414,Nikaia,SI3RR4,4,T-I,Joukios,47,53
415,Mustafa,Palas_01,4,MTS,Joukios,47,53
416,El mar M,virus s,10,xVx,Joukios,47,53
417,Polis,virus s,1,xVx,Joukios,47,53
418,Aphofis,Rome,8,None,Joukios,47,53
419,Gym city,nax94,12,MTS,Joukios,47,53
420,Polis,pingu,5,ESG,Joukios,47,53
421,Piedra,cubelo,11,xVx,Joukios,47,53
422,Skypiea,trigalian,12,V-K,Joukios,47,53
423,Kanto,picante,7,-IL-,Joukios,47,53
425,Santa Marta,Dsac159,9,HANSA,Ataitia,46,53
426,L E V I A T A N,N E P T U N O,10,-IL-,Ataitia,46,53
427,Hidalgo,Royicks,11,13T,Ataitia,46,53
428,MEDIA NEGRAS,4nth0ny,9,13T,Ataitia,46,53
429,Polis,Achoparla,8,MTS,Ataitia,46,53
430,Wari,centaur,11,None,Ataitia,46,53
431,azufrir,cubelo,11,xVx,Ataitia,46,53
432,Casa de Charlie,pequeño pony,9,MTS,Ataitia,46,53
433,prueba veneno,belladona,11,-MaF-,Ataitia,46,53
434,Humo,nax94,11,MTS,Ataitia,46,53
435,0joc,Mercader,10,CVK,Ataitia,46,53
436,Matao,Widomaniac,12,MTS,Ataitia,46,53
437,Azuu,Melix,7,LhO,Ataitia,46,53
438,Polis,Mari Carmen,6,MTS,Ataitia,46,53
439,Candy,EscrotoSideral,11,None,Ataitia,46,53
440,Harmony,BTNH13T,6,-IL-,Ataitia,46,53
442,Chalet Pedrero,FYXED,13,V-K,Thromios,45,52
443,001,CANIBALERA,13,V-K,Thromios,45,52
444,B U N K E R,FYXED,15,V-K,Thromios,45,52
445,100,CANIBALERA,12,V-K,Thromios,45,52
446,Casa el Tarta,Pistacho,5,None,Thromios,45,52
447,VIIITTAAAAAALL,Saint,13,ATGAS,Thromios,45,52
448,bbb,Aizen,11,L G B,Thromios,45,52
449,Jotunheim,Edgorn,11,V-K,Thromios,45,52
450,Girona,Suabsy,10,-HK-,Thromios,45,52
451,Midgar,Edgorn,12,V-K,Thromios,45,52
452,Polis,Pistacho,1,None,Thromios,45,52
453,Polis,Daniel93,6,None,Thromios,45,52
454,OOOONNNNDDDDAAA,Saint,9,ATGAS,Thromios,45,52
455,Polis,loboferran,7,-HK-,Thromios,45,52
456,Kitipasa-City,Achoparla,9,MTS,Thromios,45,52
457,Random,Naap,14,V-K,Thromios,45,52
459,Losers Market,MasterLoser,9,-HK-,Rixyos,45,53
460,Polis,Beastmode,3,None,Rixyos,45,53
461,Delfos,Sonao,4,CVK,Rixyos,45,53
462,sin palomaa,Benditomarmol,10,-NP-,Rixyos,45,53
463,Maracay,MIGUELON,8,-HK-,Rixyos,45,53
464,Casadepalas,pequeño pony,9,MTS,Rixyos,45,53
466,HungaPaxunga,Ivuce,7,None,Rixyos,45,53
467,Carrera Blanca,Saidai,9,CVK,Rixyos,45,53
468,FITO LA LEYENDA,FITUS,11,MTS,Rixyos,45,53
469,Viva El Vino,FYXED,10,V-K,Rixyos,45,53
470,Alderaan,Palas_01,9,MTS,Rixyos,45,53
471,Vinopolis,Ares,9,LhO,Rixyos,45,53
472,Ponyville,Alexia,5,None,Rixyos,45,53
473,010,CANIBALERA,10,V-K,Rixyos,45,53
474,Toscana,Iromer12,4,Waagh,Rixyos,45,53
476,Luna Plateada,Borya014,5,MTS,Streybios,47,54
477,Polis,Grombrindal,1,None,Streybios,47,54
478,Polis,Menelaus-3495,1,None,Streybios,47,54
480,IV Sinho Dialga,IIC Kaos,6,-HK-,Streybios,47,54
481,Black,--Rolls Royce--,9,None,Streybios,47,54
482,Polis,Zeus Pitufo,3,None,Streybios,47,54
483,Polis,Sombo,4,None,Streybios,47,54
484,Ichi,Mashacito,6,None,Streybios,47,54
485,Polis,Enano blanco,1,None,Streybios,47,54
486,Polis,Chacorta,2,None,Streybios,47,54
487,Polis,Pericles,6,None,Streybios,47,54
488,Polis,Widomaniac,1,MTS,Streybios,47,54
490,Xzi,Chami21,8,-EE-,Streybios,47,54
493,Caracas,MIGUELON,9,-HK-,Thrajios,47,55
494,Marmol 2,xpedro88x,13,V-K,Thrajios,47,55
495,Polis,Joffreed,2,None,Thrajios,47,55
496,Queretaro,Royicks,11,13T,Thrajios,47,55
497,Mérida,Dsac159,9,HANSA,Thrajios,47,55
498,Cianuro,belladona,11,-MaF-,Thrajios,47,55
499,XenXo Marmol,XeXu,10,-HK-,Thrajios,47,55
500,Kights_Nydus,lol_Calamba_lol,11,-MaF-,Thrajios,47,55
501,I Kanto Mew,IIC Kaos,12,-HK-,Thrajios,47,55
502,Polis 2,Fidelis2,8,None,Thrajios,47,55
503,Marmolandia,Pluto,12,-HK-,Thrajios,47,55
504,Corusant,Palas_01,9,MTS,Thrajios,47,55
505,Daaamn,Widomaniac,12,MTS,Thrajios,47,55
506,Steinstadt,Lehendakaiser,9,MTS,Thrajios,47,55
507,SeBoMMarmol,SeBoM,7,None,Thrajios,47,55
508,Casa huids,pequeño pony,10,MTS,Thrajios,47,55
510,Polis,Goshako,3,-HK-,Lleatios,48,55
511,Greed,Kaoreth,9,None,Lleatios,48,55
512,Murcia,camagroc,7,-HK-,Lleatios,48,55
513,Arcadia,Carl_21193,8,-EE-,Lleatios,48,55
514,Valencia,MIGUELON,9,-HK-,Lleatios,48,55
515,Fedépolis,Fede Empire,9,-HK-,Lleatios,48,55
516,Polis,Lehendakaiser,6,MTS,Lleatios,48,55
517,Azufrelandia,Pluto,11,-HK-,Lleatios,48,55
518,WannaCry,Mr Robot,8,-IL-,Lleatios,48,55
519,III Hoen Kyogre,IIC Kaos,12,-HK-,Lleatios,48,55
520,Polis,lol_Calamba_lol,1,-MaF-,Lleatios,48,55
521,Polis,Destructor,4,None,Lleatios,48,55
522,Hautacam,Torn,9,-HK-,Lleatios,48,55
523,XeXu Azufre,XeXu,9,-HK-,Lleatios,48,55
524,JACK MA,RICK-STRATTON,6,-EE-,Lleatios,48,55
525,Forkom,Ekron,3,None,Lleatios,48,55
527,Medellín,Dsac159,9,HANSA,Risautia,48,54
528,Pride,Kaoreth,11,None,Risautia,48,54
529,TRRES,Vándalo Salvaje,12,-CB-,Risautia,48,54
530,Viñedo,Melix,8,LhO,Risautia,48,54
